batches	learning_rate	epoch	accuracy
50	0.1	200	0.5
50	0.1	300	0.500271737575531
50	0.1	400	0.5001358687877655
50	0.1	500	0.5
50	0.05	200	0.5090789586305619
50	0.05	300	0.5000007331371308
50	0.05	400	0.5077368289232254
50	0.01	200	0.6604450106620788
50	0.01	300	0.6592347025871277
50	0.01	400	0.66454798579216
50	0.01	500	0.6551641464233399
50	0.005	200	0.663310432434082
50	0.005	300	0.6775701105594635
50	0.005	400	0.6740334570407868
50	0.005	500	0.6743114531040192
50	0.001	200	0.6550363898277283
50	0.001	300	0.6607340633869171
50	0.001	400	0.6673868894577026
50	0.001	500	0.6720068156719208
50	0.001	750	0.683685702085495
50	0.001	1000	0.6830023229122162
50	0.001	2000	0.6893867075443267
50	0.001	3000	0.6855819880962372
50	0.0005	200	0.6276128232479096
50	0.0005	300	0.6388760030269622
50	0.0005	400	0.6479785323143006
50	0.0005	500	0.6615544378757476
50	0.0005	750	0.6743118107318878
50	0.0005	1000	0.6849033832550049
50	0.0005	2000	0.6857174932956696
50	0.0005	3000	0.6933184564113617
100	0.1	200	0.5056914269924164
100	0.1	300	0.5
100	0.1	400	0.5047429114580154
100	0.05	200	0.5423629522323609
100	0.05	300	0.5442714035511017
100	0.05	400	0.5437216460704803
100	0.05	500	0.5352833807468415
100	0.01	200	0.6630405306816101
100	0.01	300	0.6694116652011871
100	0.01	400	0.6726832211017608
100	0.01	500	0.6702235758304596
100	0.01	750	0.6751270234584809
100	0.01	1000	0.6646757543087005
100	0.005	200	0.6649496972560882
100	0.005	300	0.674314022064209
100	0.005	400	0.6728201985359192
100	0.005	500	0.6820497334003448
100	0.005	750	0.6869410634040832
100	0.005	1000	0.6815029621124268
100	0.001	200	0.6396982073783875
100	0.001	300	0.6547657549381256
100	0.001	400	0.6623755395412445
100	0.001	500	0.6683394491672516
100	0.001	750	0.680416738986969
100	0.001	1000	0.6813715100288391
100	0.001	2000	0.6865323424339295
100	0.001	3000	0.6813792407512664
100	0.0005	200	0.6166095912456513
100	0.0005	300	0.6301869690418244
100	0.0005	400	0.6346684694290161
100	0.0005	500	0.6424008786678315
100	0.0005	750	0.659379780292511
100	0.0005	1000	0.6701083302497863
100	0.0005	2000	0.6748711287975311
100	0.0005	3000	0.6831414937973023
250	0.1	200	0.525532066822052
250	0.1	300	0.5058420240879059
250	0.1	400	0.518864506483078
250	0.05	200	0.5953042089939118
250	0.05	300	0.6062860786914825
250	0.05	400	0.6113220930099488
250	0.05	500	0.6001870453357696
250	0.01	200	0.6741696894168854
250	0.01	300	0.6796077847480774
250	0.01	400	0.685449069738388
250	0.01	500	0.6760748088359833
250	0.005	200	0.6676608264446259
250	0.005	300	0.6782557129859924
250	0.005	400	0.6806847870349884
250	0.005	500	0.6869362771511078
250	0.005	750	0.6861229002475738
250	0.005	1000	0.6842192351818085
250	0.001	200	0.6292403101921081
250	0.001	300	0.6433574914932251
250	0.001	400	0.6584209680557251
250	0.001	500	0.6601872622966767
250	0.001	750	0.674579507112503
250	0.001	1000	0.6778411149978638
250	0.001	2000	0.6911526501178742
250	0.001	3000	0.6906091630458832
250	0.0005	200	0.6075103938579559
250	0.0005	300	0.6170146286487579
250	0.0005	400	0.6307201504707336
250	0.0005	500	0.6422583878040313
250	0.0005	750	0.6548865139484406
250	0.0005	1000	0.6615422785282135
250	0.0005	2000	0.6813663601875305
250	0.0005	3000	0.6914111375808716
500	0.1	200	0.5249687045812607
500	0.1	300	0.5238942682743073
500	0.1	400	0.5275564730167389
500	0.1	500	0.5259323120117188
500	0.1	750	0.5247002840042114
500	0.05	200	0.613218754529953
500	0.05	300	0.6148414492607117
500	0.05	400	0.6193262577056885
500	0.05	500	0.618373692035675
500	0.05	750	0.6235297441482544
500	0.05	1000	0.6172878384590149
500	0.01	200	0.6668452441692352
500	0.01	300	0.6694205045700073
500	0.01	400	0.6728190898895263
500	0.01	500	0.6758049130439758
500	0.01	750	0.6801376402378082
500	0.01	1000	0.6759440958499908
500	0.01	2000	0.6911441862583161
500	0.01	3000	0.6876196742057801
500	0.005	200	0.6639894127845765
500	0.005	300	0.6763472735881806
500	0.005	400	0.6768992185592652
500	0.005	500	0.679334568977356
500	0.005	750	0.681087988615036
500	0.005	1000	0.6872109472751617
500	0.005	2000	0.6901886701583863
500	0.005	3000	0.693316251039505
500	0.001	200	0.6201418399810791
500	0.001	300	0.6281478226184845
500	0.001	400	0.635072386264801
500	0.001	500	0.6421368658542633
500	0.001	750	0.661015373468399
500	0.001	1000	0.6649489641189575
500	0.001	2000	0.6831396520137787
500	0.001	3000	0.6835454225540161
500	0.0005	200	0.5967796325683594
500	0.0005	300	0.6064274728298187
500	0.0005	400	0.6136164128780365
500	0.0005	500	0.6250250399112701
500	0.0005	750	0.6402207136154174
500	0.0005	1000	0.6494602024555206
500	0.0005	2000	0.6786592781543732
500	0.0005	3000	0.6851776957511901
750	0.1	200	0.5593249350786209
750	0.1	300	0.5401816755533219
750	0.1	400	0.5464309394359589
750	0.05	200	0.6274655401706696
750	0.05	300	0.6436189115047455
750	0.05	400	0.644843590259552
750	0.05	500	0.6438987612724304
750	0.05	750	0.6316749036312104
750	0.01	200	0.664944177865982
750	0.01	300	0.6725532531738281
750	0.01	400	0.6763472735881806
750	0.01	500	0.6725466191768646
750	0.005	200	0.655716472864151
750	0.005	300	0.6631833970546722
750	0.005	400	0.6707909762859344
750	0.005	500	0.672829782962799
750	0.005	750	0.6736295223236084
750	0.005	1000	0.6779777109622955
750	0.005	2000	0.6865271806716919
750	0.005	3000	0.6873493969440461
750	0.001	200	0.6121270060539246
750	0.001	300	0.6220388531684875
750	0.001	400	0.6339935302734375
750	0.001	500	0.6420017361640931
750	0.001	750	0.6589710712432861
750	0.001	1000	0.6702438294887543
750	0.001	2000	0.6904747605323791
750	0.001	3000	0.694949996471405
750	0.0005	200	0.5890398621559143
750	0.0005	300	0.6023484528064728
750	0.0005	400	0.6115827918052673
750	0.0005	500	0.6243394315242767
750	0.0005	750	0.6371082305908203
750	0.0005	1000	0.6467501759529114
750	0.0005	2000	0.6665701985359191
750	0.0005	3000	0.677430921792984
1000	0.1	200	0.5430264711380005
1000	0.1	300	0.5395004868507385
1000	0.1	400	0.5523974120616912
1000	0.1	500	0.5460137546062469
1000	0.1	750	0.5414045035839081
1000	0.05	200	0.6331713199615479
1000	0.05	300	0.6409258306026459
1000	0.05	400	0.64566211104393
1000	0.05	500	0.6451160550117493
1000	0.05	750	0.646478796005249
1000	0.05	1000	0.6597697138786316
1000	0.05	2000	0.6429373502731324
1000	0.01	200	0.6700921297073364
1000	0.01	300	0.6737694382667542
1000	0.01	400	0.6813670873641968
1000	0.01	500	0.6740393459796905
1000	0.01	750	0.6827257812023163
1000	0.01	1000	0.6825921297073364
1000	0.01	2000	0.6789328515529632
1000	0.005	200	0.6421346604824066
1000	0.005	300	0.6646750152111054
1000	0.005	400	0.6706503212451935
1000	0.005	500	0.675806748867035
1000	0.005	750	0.6778455197811126
1000	0.005	1000	0.6869395852088929
1000	0.005	2000	0.6817890644073487
1000	0.005	3000	0.6916876494884491
1000	0.001	200	0.6072386384010315
1000	0.001	300	0.6191889107227325
1000	0.001	400	0.6308689057826996
1000	0.001	500	0.6403701841831207
1000	0.001	750	0.6582943022251129
1000	0.001	1000	0.6660263478755951
1000	0.001	2000	0.6842100381851196
1000	0.001	3000	0.6870750904083252
1000	0.0005	200	0.5807573318481445
1000	0.0005	300	0.5974608182907104
1000	0.0005	400	0.6058806836605072
1000	0.0005	500	0.6164682090282441
1000	0.0005	750	0.6368342757225036
1000	0.0005	1000	0.636298531293869
1000	0.0005	2000	0.6668441414833068
1000	0.0005	3000	0.683826744556427
2000	0.1	200	0.5460078597068787
2000	0.1	300	0.552114999294281
2000	0.1	400	0.5545757591724396
2000	0.1	500	0.5453358829021454
2000	0.05	200	0.6372477829456329
2000	0.05	300	0.6434959352016449
2000	0.05	400	0.6421302378177642
2000	0.05	500	0.646616518497467
2000	0.05	750	0.6497312009334564
2000	0.05	1000	0.6555765450000763
2000	0.05	2000	0.6582854688167572
2000	0.05	3000	0.6474181056022644
2000	0.01	200	0.6509654462337494
2000	0.01	300	0.657207727432251
2000	0.01	400	0.6618291199207306
2000	0.01	500	0.6671236217021942
2000	0.01	750	0.6790569424629211
2000	0.01	1000	0.6718757450580597
2000	0.01	2000	0.6802812397480011
2000	0.01	3000	0.6844950377941131
2000	0.005	200	0.6472965955734253
2000	0.005	300	0.6497463047504425
2000	0.005	400	0.6588381409645081
2000	0.005	500	0.6668504118919373
2000	0.005	750	0.672007554769516
2000	0.005	1000	0.676623797416687
2000	0.005	2000	0.6888469099998474
2000	0.005	3000	0.6838145852088928
2000	0.001	200	0.593661630153656
2000	0.001	300	0.6061476469039917
2000	0.001	400	0.6166062772274017
2000	0.001	500	0.6270623505115509
2000	0.001	750	0.6425489008426666
2000	0.001	1000	0.6566704928874969
2000	0.001	2000	0.6779773533344269
2000	0.001	3000	0.6867992877960205
2000	0.0005	200	0.5629812479019165
2000	0.0005	300	0.5789928674697876
2000	0.0005	400	0.5931141018867493
2000	0.0005	500	0.5944709539413452
2000	0.0005	750	0.6153790295124054
2000	0.0005	1000	0.6213587760925293
2000	0.0005	2000	0.6543518781661988
2000	0.0005	3000	0.6675249636173248
